ISO;Year;Poverty; Real GDP 
BDI;2008;0; 6 726 726 438 
BDI;2009;0; 6 983 199 494 
BDI;2010;0; 7 341 030 040 
BDI;2011;0; 7 637 064 601 
BDI;2012;0; 7 976 662 580 
BDI;2013;72,8; 8 369 449 021 
BDI;2014;0; 8 724 368 199 
BDI;2015;0; 8 384 117 570 
BDI;2016;0; 8 333 811 187 
BDI;2017;0; 8 375 481 077 
BDI;2018;0; 8 510 320 717 
BDI;2019;0; 8 667 121 392 
BEL;1985;0,2; -   
BEL;1986;0; -   
BEL;1987;0; -   
BEL;1988;0,5; -   
BEL;1989;0; -   
BEL;1990;0; 353 910 993 697 
BEL;1991;0; 360 398 445 087 
BEL;1992;1; 365 914 901 704 
BEL;1993;0; 362 395 263 928 
BEL;1994;0; 374 089 655 902 
BEL;1995;0,4; 383 010 786 204 
BEL;1996;0; 388 072 085 802 
BEL;1997;0,5; 402 794 212 093 
BEL;1998;0; 410 696 262 265 
BEL;1999;0; 425 246 177 251 
BEL;2000;0,3; 441 051 214 253 
BEL;2001;0; 445 901 096 710 
BEL;2002;0; 453 512 113 792 
BEL;2003;0,3; 458 219 490 391 
BEL;2004;0,1; 474 583 444 734 
BEL;2005;0,2; 485 602 024 422 
BEL;2006;0,2; 497 996 287 418 
BEL;2007;0,2; 516 307 018 968 
BEL;2008;0,1; 518 614 543 398 
BEL;2009;0,1; 508 134 675 996 
BEL;2010;0,1; 522 689 140 465 
BEL;2011;0,2; 531 546 180 597 
BEL;2012;0,2; 535 475 461 831 
BEL;2013;0,1; 537 934 591 085 
BEL;2014;0,1; 546 426 066 894 
BEL;2015;0,1; 557 581 131 065 
BEL;2016;0,1; 564 643 935 472 
BEL;2017;0,1; 573 788 797 294 
BEL;2018;0,1; 584 227 184 118 
BEL;2019;0; 596 785 496 112 
BEL;2020;;
BEN;1985;0; -   
BEN;1986;0; -   
BEN;1987;0; -   
BEN;1988;0; -   
BEN;1989;0; -   
BEN;1990;0; 10 829 251 970 
BEN;1991;0; 11 286 874 437 
BEN;1992;0; 11 620 707 544 
BEN;1993;0; 12 298 912 034 
BEN;1994;0; 12 547 399 307 
BEN;1995;0; 13 305 914 521 
BEN;1996;0; 13 881 300 058 
BEN;1997;0; 14 677 349 359 
BEN;1998;0; 15 258 720 948 
BEN;1999;0; 16 073 757 802 
BEN;2000;0; 17 015 312 597 
BEN;2001;0; 17 922 762 308 
BEN;2002;0; 18 754 921 695 
BEN;2003;51,4; 19 400 761 823 
BEN;2004;0; 20 260 154 373 
BEN;2005;0; 20 607 244 158 
BEN;2006;0; 21 419 940 047 
BEN;2007;0; 22 702 212 483 
BEN;2008;0; 23 813 843 817 
BEN;2009;0; 24 366 156 425 
BEN;2010;0; 24 881 272 743 
BEN;2011;53,2; 25 618 692 190 
BEN;2012;0; 26 851 264 682 
BEN;2013;0; 28 782 255 585 
BEN;2014;0; 30 612 139 032 
BEN;2015;49,6; 31 156 469 107 
BEN;2016;0; 32 196 993 426 
BEN;2017;0; 34 023 063 768 
BEN;2018;0; 36 301 676 625 
BEN;2019;0; 38 794 036 240 
BFA;1985;0; -   
BFA;1986;0; -   
BFA;1987;0; -   
BFA;1988;0; -   
BFA;1989;0; -   
BFA;1990;0; 8 965 578 967 
BFA;1991;0; 9 778 755 586 
BFA;1992;0; 9 801 511 802 
BFA;1993;0; 10 140 779 856 
BFA;1994;83,2; 10 274 131 848 
BFA;1995;0; 10 861 439 636 
BFA;1996;0; 12 057 799 392 
BFA;1997;0; 12 819 470 652 
BFA;1998;81,6; 13 756 281 626 
BFA;1999;0; 14 773 591 365 
BFA;2000;0; 15 052 586 781 
BFA;2001;0; 16 048 075 420 
BFA;2002;0; 16 746 642 338 
BFA;2003;57,4; 18 053 298 083 
BFA;2004;0; 18 861 806 397 
BFA;2005;0; 20 495 592 156 
BFA;2006;0; 21 777 215 287 
BFA;2007;0; 22 672 559 147 
BFA;2008;0; 23 987 565 705 
BFA;2009;55,4; 24 698 065 613 
BFA;2010;0; 26 784 133 779 
BFA;2011;0; 28 557 929 809 
BFA;2012;0; 30 400 679 458 
BFA;2013;0; 32 161 664 609 
BFA;2014;43,8; 33 553 250 183 
BFA;2015;0; 34 868 949 891 
BFA;2016;0; 36 946 433 804 
BFA;2017;0; 39 238 401 912 
BFA;2018;0; 41 829 929 268 
BFA;2019;0; 44 209 263 812 
BGD;1985;34,2; -   
BGD;1986;0; -   
BGD;1987;0; -   
BGD;1988;43,2; -   
BGD;1989;0; -   
BGD;1990;0; 156 587 099 092 
BGD;1991;43,5; 162 044 516 225 
BGD;1992;0; 170 864 089 695 
BGD;1993;0; 178 914 456 746 
BGD;1994;0; 185 874 455 334 
BGD;1995;35; 195 393 602 732 
BGD;1996;0; 204 231 097 540 
BGD;1997;0; 213 400 862 435 
BGD;1998;0; 224 448 682 431 
BGD;1999;0; 234 930 786 867 
BGD;2000;34,2; 247 366 365 800 
BGD;2001;0; 259 925 868 053 
BGD;2002;0; 269 889 148 728 
BGD;2003;0; 282 680 726 835 
BGD;2004;0; 297 491 876 549 
BGD;2005;25,1; 316 935 781 802 
BGD;2006;0; 338 081 436 017 
BGD;2007;0; 361 945 250 084 
BGD;2008;0; 383 711 876 468 
BGD;2009;0; 403 070 619 485 
BGD;2010;19,2; 425 528 860 653 
BGD;2011;0; 453 036 659 482 
BGD;2012;0; 482 581 258 491 
BGD;2013;0; 511 601 792 358 
BGD;2014;0; 542 610 280 674 
BGD;2015;0; 578 165 578 312 
BGD;2016;14,3; 619 293 260 761 
BGD;2017;0; 664 403 662 063 
BGD;2018;0; 716 650 728 825 
BGD;2019;0; 775 076 999 200 
BGD;2020;;
BGR;1985;0; -   
BGR;1986;0; -   
BGR;1987;0; -   
BGR;1988;0; -   
BGR;1989;0; -   
BGR;1990;0; 109 045 829 865 
BGR;1991;0; 99 836 522 228 
BGR;1992;0; 92 576 022 967 
BGR;1993;0; 91 205 699 012 
BGR;1994;0; 92 863 828 833 
BGR;1995;0; 95 515 138 558 
BGR;1996;0; 100 487 075 693 
BGR;1997;0; 86 302 942 042 
BGR;1998;0; 89 573 065 863 
BGR;1999;0; 82 052 429 598 
BGR;2000;0; 85 816 359 442 
BGR;2001;0; 89 097 722 722 
BGR;2002;0; 94 329 478 879 
BGR;2003;0; 99 269 659 218 
BGR;2004;0; 105 732 537 297 
BGR;2005;0; 113 193 392 578 
BGR;2006;5,6; 120 893 474 282 
BGR;2007;1,8; 128 862 023 579 
BGR;2008;1,2; 136 743 248 090 
BGR;2009;1,3; 132 269 208 275 
BGR;2010;2; 134 308 536 837 
BGR;2011;2,4; 137 130 635 536 
BGR;2012;2,2; 138 165 876 372 
BGR;2013;1,8; 137 391 464 973 
BGR;2014;1,6; 138 719 860 501 
BGR;2015;3,4; 143 475 253 495 
BGR;2016;1,9; 147 836 650 516 
BGR;2017;1,4; 151 920 151 544 
BGR;2018;0,9; 155 998 563 670 
BGR;2019;0; 162 297 149 325 
BGR;2020;;
BHR;1985;0; -   
BHR;1986;0; -   
BHR;1987;0; -   
BHR;1988;0; -   
BHR;1989;0; -   
BHR;1990;0; 19 143 294 360 
BHR;1991;0; 21 293 086 083 
BHR;1992;0; 22 717 593 194 
BHR;1993;0; 25 641 348 953 
BHR;1994;0; 25 577 245 200 
BHR;1995;0; 26 582 428 774 
BHR;1996;0; 27 674 968 222 
BHR;1997;0; 28 530 954 930 
BHR;1998;0; 29 897 588 467 
BHR;1999;0; 31 183 184 460 
BHR;2000;0; 32 835 915 082 
BHR;2001;0; 33 653 840 688 
BHR;2002;0; 34 780 756 595 
BHR;2003;0; 36 970 706 753 
BHR;2004;0; 39 551 617 223 
BHR;2005;0; 42 228 865 351 
BHR;2006;0; 44 959 806 125 
BHR;2007;0; 48 688 754 662 
BHR;2008;0; 51 729 372 637 
BHR;2009;0; 53 043 239 697 
BHR;2010;0; 55 342 292 397 
BHR;2011;0; 56 440 015 074 
BHR;2012;0; 58 544 160 034 
BHR;2013;0; 61 715 403 402 
BHR;2014;0; 64 400 264 666 
BHR;2015;0; 66 000 855 035 
BHR;2016;0; 68 349 250 017 
BHR;2017;0; 71 282 082 008 
BHR;2018;0; 72 805 167 215 
BHR;2019;0; 74 364 200 163 
BHS;1985;0; -   
BHS;1986;0; -   
BHS;1987;0; -   
BHS;1988;0; -   
BHS;1989;0; -   
BHS;1990;0; 9 773 562 237 
BHS;1991;0; 9 364 852 898 
BHS;1992;0; 9 006 592 775 
BHS;1993;0; 9 034 315 634 
BHS;1994;0; 9 318 798 610 
BHS;1995;0; 9 726 845 699 
BHS;1996;0; 10 137 661 986 
BHS;1997;0; 10 834 701 208 
BHS;1998;0; 10 346 749 970 
BHS;1999;0; 11 608 796 690 
BHS;2000;0; 12 090 472 834 
BHS;2001;0; 12 407 867 042 
BHS;2002;0; 12 743 459 020 
BHS;2003;0; 12 582 314 630 
BHS;2004;0; 12 693 383 777 
BHS;2005;0; 13 124 357 170 
BHS;2006;0; 13 454 678 069 
BHS;2007;0; 13 649 331 456 
BHS;2008;0; 13 332 188 252 
BHS;2009;0; 12 775 461 994 
BHS;2010;0; 12 971 997 910 
BHS;2011;0; 13 051 566 090 
BHS;2012;0; 13 454 452 166 
BHS;2013;0; 12 972 261 464 
BHS;2014;0; 13 269 085 916 
BHS;2015;0; 13 480 029 445 
BHS;2016;0; 13 492 316 077 
BHS;2017;0; 13 711 567 829 
BHS;2018;0; 14 090 972 507 
BHS;2019;0; 14 189 955 825 
BIH;1992;0; -   
BIH;1993;0; -   
BIH;1994;0; 6 508 743 804 
BIH;1995;0; 7 862 562 356 
BIH;1996;0; 14 856 914 330 
BIH;1997;0; 19 966 143 885 
BIH;1998;0; 23 080 861 669 
BIH;1999;0; 25 296 624 324 
BIH;2000;0; 28 525 857 176 
BIH;2001;0,3; 29 217 128 030 
BIH;2002;0; 30 686 002 841 
BIH;2003;0; 31 872 673 162 
BIH;2004;0,2; 33 888 704 574 
BIH;2005;0; 35 209 407 710 
BIH;2006;0; 37 115 646 300 
BIH;2007;0,1; 39 289 556 597 
BIH;2008;0; 41 428 413 672 
BIH;2009;0; 40 183 715 241 
BIH;2010;0; 40 531 573 311 
BIH;2011;0,1; 40 920 478 316 
BIH;2012;0; 40 584 178 900 
BIH;2013;0; 41 537 848 932 
BIH;2014;0; 42 017 133 855 
BIH;2015;0; 43 315 112 092 
BIH;2016;0; 44 679 454 488 
BIH;2017;0; 46 096 434 290 
BIH;2018;0; 47 820 473 703 
BIH;2019;0; 49 174 272 558 
BIH;2020;;
BLR;1985;0; -   
BLR;1986;0; -   
BLR;1987;0; -   
BLR;1988;0; -   
BLR;1989;0; -   
BLR;1990;0; 90 636 010 186 
BLR;1991;0; 89 548 382 079 
BLR;1992;0; 80 951 736 149 
BLR;1993;0; 74 799 402 711 
BLR;1994;0; 66 047 869 678 
BLR;1995;0; 59 178 890 907 
BLR;1996;0; 60 835 902 604 
BLR;1997;0; 67 771 198 790 
BLR;1998;11,8; 73 463 973 674 
BLR;1999;10,6; 75 961 748 164 
BLR;2000;7,3; 80 367 532 170 
BLR;2001;3,2; 84 165 143 985 
BLR;2002;2,1; 88 411 500 624 
BLR;2003;1,4; 94 638 492 857 
BLR;2004;0,3; 105 474 357 168 
BLR;2005;0,4; 115 388 948 349 
BLR;2006;0,1; 126 927 837 198 
BLR;2007;0,1; 137 843 639 493 
BLR;2008;0; 151 903 689 949 
BLR;2009;0; 152 207 490 205 
BLR;2010;0; 164 077 036 415 
BLR;2011;0; 172 902 260 196 
BLR;2012;0; 175 819 355 671 
BLR;2013;0; 177 583 651 638 
BLR;2014;0; 180 649 428 903 
BLR;2015;0; 173 731 331 560 
BLR;2016;0; 169 342 102 527 
BLR;2017;0; 173 630 155 306 
BLR;2018;0; 179 098 111 979 
BLR;2019;0; 181 605 485 546 
BLR;2020;;
BLZ;1985;0; -   
BLZ;1986;0; -   
BLZ;1987;0; -   
BLZ;1988;0; -   
BLZ;1989;0; -   
BLZ;1990;0; 910 570 080 
BLZ;1991;0; 1 014 958 166 
BLZ;1992;0; 1 137 345 114 
BLZ;1993;10,1; 1 208 722 398 
BLZ;1994;9,7; 1 210 637 275 
BLZ;1995;0; 1 218 439 674 
BLZ;1996;13,3; 1 235 852 547 
BLZ;1997;16; 1 279 659 235 
BLZ;1998;14,2; 1 327 525 071 
BLZ;1999;13,9; 1 444 066 570 
BLZ;2000;0; 1 632 077 935 
BLZ;2001;0; 1 708 485 877 
BLZ;2002;0; 1 789 338 391 
BLZ;2003;0; 1 956 348 291 
BLZ;2004;0; 2 050 056 224 
BLZ;2005;0; 2 089 845 840 
BLZ;2006;0; 2 190 690 942 
BLZ;2007;0; 2 201 885 688 
BLZ;2008;0; 2 278 727 210 
BLZ;2009;0; 2 283 682 548 
BLZ;2010;0; 2 352 273 576 
BLZ;2011;0; 2 397 396 111 
BLZ;2012;0; 2 455 455 367 
BLZ;2013;0; 2 487 231 040 
BLZ;2014;0; 2 587 657 860 
BLZ;2015;0; 2 655 916 715 
BLZ;2016;0; 2 655 034 057 
BLZ;2017;0; 2 703 187 933 
BLZ;2018;0; 2 781 744 459 
BLZ;2019;0; 2 830 780 992 
BMU;1985;0; -   
BMU;1986;0; -   
BMU;1987;0; -   
BMU;1988;0; -   
BMU;1989;0; -   
BMU;1990;0; 3 913 226 389 
BMU;1991;0; 3 774 918 016 
BMU;1992;0; 3 772 662 947 
BMU;1993;0; 3 886 166 044 
BMU;1994;0; 3 909 468 015 
BMU;1995;0; 4 081 451 312 
BMU;1996;0; 4 187 588 451 
BMU;1997;0; 4 380 217 555 
BMU;1998;0; 4 551 046 044 
BMU;1999;0; 4 704 991 867 
BMU;2000;0; 5 143 363 318 
BMU;2001;0; 5 514 839 418 
BMU;2002;0; 5 433 341 640 
BMU;2003;0; 5 618 656 986 
BMU;2004;0; 5 749 081 029 
BMU;2005;0; 5 845 332 495 
BMU;2006;0; 6 169 389 918 
BMU;2007;0; 6 375 764 630 
BMU;2008;0; 6 256 795 679 
BMU;2009;0; 5 904 744 699 
BMU;2010;0; 5 756 956 126 
BMU;2011;0; 5 541 487 978 
BMU;2012;0; 5 247 495 466 
BMU;2013;0; 5 232 817 773 
BMU;2014;0; 5 039 147 650 
BMU;2015;0; 5 078 227 736 
BMU;2016;0; 5 044 853 304 
BMU;2017;0; 5 227 044 137 
BMU;2018;0; 5 204 421 422 
BMU;2019;0; 5 228 356 032 
BOL;1985;0; -   
BOL;1986;0; -   
BOL;1987;0; -   
BOL;1988;0; -   
BOL;1989;0; -   
BOL;1990;0; 31 491 964 100 
BOL;1991;0; 33 150 497 040 
BOL;1992;15; 33 696 318 957 
BOL;1993;0; 35 134 913 778 
BOL;1994;0; 36 774 755 221 
BOL;1995;0; 38 495 178 513 
BOL;1996;0; 40 174 085 309 
BOL;1997;19,3; 42 164 393 356 
BOL;1998;0; 44 284 989 259 
BOL;1999;25,2; 44 474 037 262 
BOL;2000;28,6; 45 589 360 528 
BOL;2001;22,8; 46 356 994 608 
BOL;2002;24,6; 47 509 227 770 
BOL;2003;0; 48 797 364 803 
BOL;2004;13,6; 50 833 822 455 
BOL;2005;19,2; 53 081 406 755 
BOL;2006;16,1; 55 627 726 705 
BOL;2007;12,4; 58 166 789 068 
BOL;2008;11; 61 743 172 462 
BOL;2009;10,3; 63 815 891 539 
BOL;2010;0; 66 449 395 947 
BOL;2011;7,2; 69 907 483 850 
BOL;2012;8,2; 73 488 337 955 
BOL;2013;6,9; 78 482 613 664 
BOL;2014;5,7; 82 768 211 466 
BOL;2015;6,3; 86 788 418 466 
BOL;2016;7,5; 90 489 007 926 
BOL;2017;6,5; 94 285 208 488 
BOL;2018;4,9; 98 267 460 721 
BOL;2019;3,2; 100 445 761 201 
BOL;2020;;
BRA;1985;23,1; -   
BRA;1986;10,5; -   
BRA;1987;17,7; -   
BRA;1988;20; -   
BRA;1989;18,2; -   
BRA;1990;21,5; 1 567 624 706 703 
BRA;1991;0; 1 583 805 565 665 
BRA;1992;20,7; 1 575 188 522 239 
BRA;1993;19,8; 1 652 761 673 948 
BRA;1994;0; 1 749 495 672 157 
BRA;1995;12,9; 1 823 390 758 978 
BRA;1996;14,1; 1 863 666 981 954 
BRA;1997;14; 1 926 935 605 670 
BRA;1998;12,7; 1 933 450 534 525 
BRA;1999;13,3; 1 942 497 875 909 
BRA;2000;0; 2 027 733 700 648 
BRA;2001;11,5; 2 055 917 098 445 
BRA;2002;10,2; 2 118 693 742 854 
BRA;2003;11; 2 142 864 415 468 
BRA;2004;9,7; 2 266 292 648 015 
BRA;2005;8,6; 2 338 862 331 519 
BRA;2006;7,2; 2 431 527 793 013 
BRA;2007;6,7; 2 579 118 383 830 
BRA;2008;5,5; 2 710 503 715 141 
BRA;2009;5,4; 2 707 093 576 126 
BRA;2010;0; 2 910 889 693 645 
BRA;2011;4,7; 3 026 580 765 446 
BRA;2012;3,7; 3 084 726 708 281 
BRA;2013;3,1; 3 177 417 275 728 
BRA;2014;2,7; 3 193 430 052 482 
BRA;2015;3,2; 3 080 198 578 685 
BRA;2016;3,9; 2 979 293 832 697 
BRA;2017;4,4; 3 018 705 988 835 
BRA;2018;4,4; 3 072 549 644 181 
BRA;2019;4,6; 3 115 908 020 203 
BRA;2020;;
BRB;1985;0; -   
BRB;1986;0; -   
BRB;1987;0; -   
BRB;1988;0; -   
BRB;1989;0; -   
BRB;1990;0; 3 648 937 306 
BRB;1991;0; 3 506 632 151 
BRB;1992;0; 3 307 016 387 
BRB;1993;0; 3 333 243 276 
BRB;1994;0; 3 400 267 547 
BRB;1995;0; 3 468 748 867 
BRB;1996;0; 3 606 682 874 
BRB;1997;0; 3 777 643 333 
BRB;1998;0; 3 918 491 439 
BRB;1999;0; 3 931 604 884 
BRB;2000;0; 4 106 450 808 
BRB;2001;0; 4 009 314 183 
BRB;2002;0; 4 040 883 586 
BRB;2003;0; 4 128 792 232 
BRB;2004;0; 4 187 074 206 
BRB;2005;0; 4 352 692 152 
BRB;2006;0; 4 609 618 524 
BRB;2007;0; 4 711 126 297 
BRB;2008;0; 4 744 152 749 
BRB;2009;0; 4 503 253 920 
BRB;2010;0; 4 400 289 098 
BRB;2011;0; 4 370 662 427 
BRB;2012;0; 4 350 749 419 
BRB;2013;0; 4 289 553 345 
BRB;2014;0; 4 284 210 831 
BRB;2015;0; 4 389 118 386 
BRB;2016;0; 4 497 911 405 
BRB;2017;0; 4 519 281 463 
BRB;2018;0; 4 493 054 574 
BRB;2019;0; 4 488 735 151 
BRN;1985;0; -   
BRN;1986;0; -   
BRN;1987;0; -   
BRN;1988;0; -   
BRN;1989;0; -   
BRN;1990;0; 18 428 919 885 
BRN;1991;0; 19 008 682 898 
BRN;1992;0; 19 913 226 441 
BRN;1993;0; 19 973 876 727 
BRN;1994;0; 20 602 134 526 
BRN;1995;0; 21 524 843 837 
BRN;1996;0; 22 144 397 237 
BRN;1997;0; 21 818 615 160 
BRN;1998;0; 21 696 756 263 
BRN;1999;0; 22 358 975 359 
BRN;2000;0; 22 996 076 890 
BRN;2001;0; 23 627 098 557 
BRN;2002;0; 24 541 962 724 
BRN;2003;0; 25 254 650 394 
BRN;2004;0; 25 382 014 206 
BRN;2005;0; 25 480 371 341 
BRN;2006;0; 26 600 926 645 
BRN;2007;0; 26 642 046 839 
BRN;2008;0; 26 125 267 157 
BRN;2009;0; 25 664 277 533 
BRN;2010;0; 26 331 283 315 
BRN;2011;0; 27 317 473 701 
BRN;2012;0; 27 566 838 985 
BRN;2013;0; 26 980 760 126 
BRN;2014;0; 26 303 987 537 
BRN;2015;0; 26 200 774 965 
BRN;2016;0; 25 551 541 320 
