ISO;Country;Continent
KIR;Kiribati;Oceania
KWT;Kuwait;Asia
KGZ;Kyrgyzstan;Asia
LAO;Lao People's Democratic Republic;Asia
LVA;Latvia;Europe
LBN;Lebanon;Asia
LSO;Lesotho;Africa
LBR;Liberia;Africa
LBY;Libya;Africa
LIE;Liechtenstein;Europe
LTU;Lithuania;Europe
LUX;Luxembourg;Europe
MDG;Madagascar;Africa
MWI;Malawi;Africa
MYS;Malaysia;Asia
MDV;Maldives;Asia
MLI;Mali;Africa
MLT;Malta;Europe
MHL;Marshall Islands;Oceania
MTQ;Martinique;North America
MRT;Mauritania;Africa
MUS;Mauritius;Africa
MYT;Mayotte;Africa
MEX;Mexico;North America
FSM;Micronesia (Federated States of);Oceania
MCO;Monaco;Europe
MNG;Mongolia;Asia
MNE;Montenegro;Europe
MSR;Montserrat;North America
MAR;Morocco;Africa
MOZ;Mozambique;Africa
MMR;Myanmar;Asia
NAM;Namibia;Africa
NRU;Nauru;Oceania
NPL;Nepal;Asia
NLD;Netherlands;Europe
NCL;New Caledonia;Oceania
NZL;New Zealand;Oceania
NIC;Nicaragua;North America
NER;Niger;Africa
NGA;Nigeria;Africa
NIU;Niue;Oceania
NFK;Norfolk Island;Oceania
MKD;North Macedonia;Europe
MNP;Northern Mariana Islands;Oceania
NOR;Norway;Europe
OMN;Oman;Asia
PAK;Pakistan;Asia
PLW;Palau;Oceania
PAN;Panama;North America
PNG;Papua New Guinea;Oceania
PRY;Paraguay;South America
PER;Peru;South America
PHL;Philippines;Asia
PCN;Pitcairn;Oceania
POL;Poland;Europe
PRT;Portugal;Europe
PRI;Puerto Rico;North America
QAT;Qatar;Asia
KOR;Republic of Korea;Asia
MDA;Republic of Moldova;Europe
REU;R?union;Africa
ROU;Romania;Europe
RUS;Russian Federation;Europe
RWA;Rwanda;Africa
BLM;Saint Barth?lemy;North America
SHN;Saint Helena;Africa
KNA;Saint Kitts and Nevis;North America
LCA;Saint Lucia;North America
MAF;Saint Martin (French Part);North America
SPM;Saint Pierre and Miquelon;North America
VCT;Saint Vincent and the Grenadines;North America
WSM;Samoa;Oceania
SMR;San Marino;Europe
STP;Sao Tome and Principe;Africa
CRQ;Sark;Europe
SAU;Saudi Arabia;Asia
SEN;Senegal;Africa
SRB;Serbia;Europe
SYC;Seychelles;Africa
SLE;Sierra Leone;Africa
SGP;Singapore;Asia
SXM;Sint Maarten (Dutch part);North America
SVK;Slovakia;Europe
SVN;Slovenia;Europe
SLB;Solomon Islands;Oceania
SOM;Somalia;Africa
ZAF;South Africa;Africa
SGS;South Georgia and the South Sandwich Islands;South America
SSD;South Sudan;Africa
ESP;Spain;Europe
LKA;Sri Lanka;Asia
PSE;State of Palestine;Asia
SDN;Sudan;Africa
SUR;Suriname;South America
SJM;Svalbard and Jan Mayen Islands;Europe
SWE;Sweden;Europe
CHE;Switzerland;Europe
SYR;Syrian Arab Republic;Asia
TJK;Tajikistan;Asia
THA;Thailand;Asia
TLS;Timor-Leste;Asia
TGO;Togo;Africa
TKL;Tokelau;Oceania
TON;Tonga;Oceania
TTO;Trinidad and Tobago;North America
TUN;Tunisia;Africa
TUR;Turkey;Asia
TKM;Turkmenistan;Asia
TWN;Taiwan;Asia
TCA;Turks and Caicos Islands;North America
TUV;Tuvalu;Oceania
UGA;Uganda;Africa
UKR;Ukraine;Europe
ARE;United Arab Emirates;Asia
GBR;United Kingdom of Great Britain and Northern Ireland;Europe
TZA;United Republic of Tanzania;Africa
UMI;United States Minor Outlying Islands;Oceania
USA;United States of America;North America
VIR;United States Virgin Islands;North America
URY;Uruguay;South America
UZB;Uzbekistan;Asia
VUT;Vanuatu;Oceania
VEN;Venezuela (Bolivarian Republic of);South America
VNM;Viet Nam;Asia
WLF;Wallis and Futuna Islands;Oceania
ESH;Western Sahara;Africa
YEM;Yemen;Asia
ZMB;Zambia;Africa
ZWE;Zimbabwe;Africa
